summary,id,field,bt,bg,term,cardinality,format,missingFrom,belongsAt,presentIn,reason,evidence,applicability,severity,source
cii · buyer.contact.email missing from json,cii|buyer.contact.email|json,buyer.contact.email,BT-58,BG-9,Buyer contact email address,0..1,cii,json,BT-58,model BT-58; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · buyer.contact.name missing from json,cii|buyer.contact.name|json,buyer.contact.name,BT-56,BG-9,Buyer contact point,0..1,cii,json,BT-56,model BT-56; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · buyer.contact.phone missing from json,cii|buyer.contact.phone|json,buyer.contact.phone,BT-57,BG-9,Buyer contact telephone number,0..1,cii,json,BT-57,model BT-57; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · buyer.legalRegScheme missing from json,cii|buyer.legalRegScheme|json,buyer.legalRegScheme,,,,,cii,json,buyer.legalRegScheme,model Legal registration scheme; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · buyer.tradeName missing from json,cii|buyer.tradeName|json,buyer.tradeName,BT-45,BG-7,Buyer trading name,0..1,cii,json,BT-45,model BT-45; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · lines.{i}.id missing from json,cii|lines.{i}.id|json,lines.{i}.id,BT-126,BG-25,Invoice line identifier,1..1,cii,json,/entries/{i}/details/number,model BT-126; json —; xml mapped,details.number is optional; without it the entry's position becomes the line id,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
cii · lines.{i}.vat.rate missing from json,cii|lines.{i}.vat.rate|json,lines.{i}.vat.rate,BT-152,BG-30,Invoiced item VAT rate,0..1,cii,json,/entries/{i}/data/vat/percentage,model BT-152; json —; xml mapped,Only a VAT_RATE row has a percentage; an exemption or reverse-charge row carries none,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
cii · payment.accountName missing from json,cii|payment.accountName|json,payment.accountName,BT-85,BG-17,Payment account name,0..1,cii,json,/payments/{i}/instruction/name,model BT-85; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
cii · payment.bic missing from json,cii|payment.bic|json,payment.bic,BT-86,BG-17,Payment service provider identifier,0..1,cii,json,/payments/{i}/instruction/payment_service_provider,model BT-86; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
cii · payment.iban missing from json,cii|payment.iban|json,payment.iban,BT-84,BG-17,Payment account identifier,1..1,cii,json,/payments/{i}/instruction/account,model BT-84; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
cii · references.invoicedObject missing from json,cii|references.invoicedObject|json,references.invoicedObject,BT-18,BG-0,Invoiced object identifier,0..1,cii,json,BT-18,model BT-18; json —; xml mapped,"document.references carries neither BT-14 nor BT-18, and despatch_advice is a bare number without BT-16's date",Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · references.salesOrder missing from json,cii|references.salesOrder|json,references.salesOrder,BT-14,BG-0,Sales order reference,0..1,cii,json,BT-14,model BT-14; json —; xml mapped,"document.references carries neither BT-14 nor BT-18, and despatch_advice is a bare number without BT-16's date",Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · seller.address.city missing from json,cii|seller.address.city|json,seller.address.city,BT-37,BG-5,Seller city,0..1,cii,json,BT-37,model BT-37; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/city — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.address.country missing from json,cii|seller.address.country|json,seller.address.country,BT-40,BG-5,Seller country code,1..1,cii,json,BT-40,model BT-40; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/country — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.address.number missing from json,cii|seller.address.number|json,seller.address.number,BT-36,BG-5,Seller address line 2,0..1,cii,json,BT-36,model BT-36; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/line — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.address.postCode missing from json,cii|seller.address.postCode|json,seller.address.postCode,BT-38,BG-5,Seller post code,0..1,cii,json,BT-38,model BT-38; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/code — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.address.region missing from json,cii|seller.address.region|json,seller.address.region,BT-39,BG-5,Seller country subdivision,0..1,cii,json,BT-39,model BT-39; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/region — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.address.street missing from json,cii|seller.address.street|json,seller.address.street,BT-35,BG-5,Seller address line 1,0..1,cii,json,BT-35,model BT-35; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/line — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.electronicAddress.id missing from json,cii|seller.electronicAddress.id|json,seller.electronicAddress.id,BT-34,BG-4,Seller electronic address,1..1,cii,json,BT-34,model BT-34; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from System::E_INVOICE_SERVICE annotations.peppol_id (Peppol registration) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.electronicAddress.scheme missing from json,cii|seller.electronicAddress.scheme|json,seller.electronicAddress.scheme,,,,,cii,json,seller.electronicAddress.scheme,model Electronic address scheme; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from System::E_INVOICE_SERVICE annotations.peppol_id (Peppol registration) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.legalRegId missing from json,cii|seller.legalRegId|json,seller.legalRegId,BT-30,BG-4,Seller legal registration identifier,0..1,cii,json,BT-30,model BT-30; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · seller.legalRegScheme missing from json,cii|seller.legalRegScheme|json,seller.legalRegScheme,,,,,cii,json,seller.legalRegScheme,model Legal registration scheme; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · seller.name missing from json,cii|seller.name|json,seller.name,BT-27,BG-4,Seller name,1..1,cii,json,BT-27,model BT-27; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /name/legal — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.taxId missing from json,cii|seller.taxId|json,seller.taxId,BT-32,BG-4,Seller tax registration identifier,0..1,cii,json,BT-32,model BT-32; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/tax_id_number — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · seller.tradeName missing from json,cii|seller.tradeName|json,seller.tradeName,BT-28,BG-4,Seller trading name,0..1,cii,json,BT-28,model BT-28; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /name/trade — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
